"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"random", "s3v80c600-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "41"
"random", "s3v80c600-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "38"
"random", "s3v80c600-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
"random", "s3v80c600-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
"random", "s3v80c600-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "38"
"random", "s3v80c600-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "44"
"random", "s3v80c600-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "40"
"random", "s3v80c600-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "43"
"random", "s3v80c600-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "39"
"random", "s3v80c600-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "38"
"random", "s3v80c600-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "41"
"random", "s3v80c700-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c600-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "44"
"random", "s3v80c700-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "48"
"random", "s3v80c700-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "48"
"random", "s3v80c600-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "39"
"random", "s3v80c700-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "50"
"random", "s3v80c700-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "49"
"random", "s3v80c600-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "42"
"random", "s3v80c700-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "50"
"random", "s3v80c600-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "42"
"random", "s3v80c700-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "49"
"random", "s3v80c700-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "50"
"random", "s3v80c600-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "40"
"random", "s3v80c700-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "52"
"random", "s3v80c700-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "52"
"random", "s3v80c700-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "52"
"random", "s3v80c700-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "49"
"random", "s3v80c700-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "56"
"random", "s3v80c700-6.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-7.cnf", "ring", "3", "20", "1", "1.7", "2.3", "52"
"random", "s3v80c700-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c700-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "48"
"random", "s3v80c700-8.cnf", "ring", "3", "20", "1", "1.7", "2.3", "50"
"random", "s3v80c700-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "49"
"random", "s3v80c700-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "48"
"random", "s3v80c700-9.cnf", "ring", "3", "20", "1", "1.7", "2.3", "51"
"random", "s3v80c800-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "60"
"random", "s3v80c700-5.cnf", "ring", "3", "20", "1", "1.7", "2.3", "52"
"random", "s3v80c800-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"crafted", "brock200_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "155"
