"category","problem","MH","avg_fit","Opt"
"crafted","brock400_3.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",243.66666666666666,"238"
"crafted","brock400_3.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",250.26666666666668,"238"
"crafted","brock400_3.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",244.33333333333334,"238"
"crafted","brock400_3.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",244.13333333333333,"238"
"crafted","brock400_3.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",253,"238"
"crafted","brock400_3.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",245.6,"238"
"crafted","brock400_3.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",253.4,"238"
"crafted","brock400_4.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",273.26666666666665,"249"
"crafted","brock400_4.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",276.8666666666667,"249"
"crafted","brock400_4.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",253.06666666666666,"249"
"crafted","brock400_4.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",252.46666666666667,"249"
"crafted","brock400_4.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",260.8666666666667,"249"
"crafted","brock400_4.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",275.6666666666667,"249"
"crafted","brock400_4.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",268,"249"
"crafted","brock400_4.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",254.6,"249"
"crafted","brock400_4.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",261.06666666666666,"249"
"crafted","brock400_4.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",257.6666666666667,"249"
"crafted","brock400_4.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",256.06666666666666,"249"
"crafted","brock400_4.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",263.8666666666667,"249"
"crafted","brock400_4.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",257.53333333333336,"249"
"crafted","brock400_4.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",264.3333333333333,"249"
"crafted","brock800_1.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",233,"205"
"crafted","brock800_1.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",235.71428571428572,"205"
"crafted","brock800_1.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",207.64285714285714,"205"
"crafted","brock800_1.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",208.42857142857142,"205"
"crafted","brock800_1.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",213.28571428571428,"205"
"crafted","brock800_1.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",235.14285714285714,"205"
"crafted","brock800_1.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",229.46666666666667,"205"
"crafted","brock800_1.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",209.53333333333333,"205"
"crafted","brock800_1.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",217.66666666666666,"205"
"crafted","brock800_1.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",212.86666666666667,"205"
"crafted","brock800_1.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",211.53333333333333,"205"
